DivisionNm,CountNum,PPId,ALP,GRN,IND,LNP,ONP,OTH,TEAL
Adelaide,3,32952,0.1393139313931393,0.1311131113111311,,0.1311131113111311,0.5984598459845984,-1.0,
Adelaide,3,33098,0.2857285728572857,0.3714371437143714,,0.0857085708570857,0.2571257125712571,-1.0,
Adelaide,3,36447,0.1818,0.1515,,0.0,0.6667000000000001,-1.0,
Adelaide,3,38208,0.1702,0.1277,,0.19149999999999998,0.5106,-1.0,
Adelaide,3,64715,0.06559999999999999,0.1311,,0.21309999999999998,0.5902000000000001,-1.0,
Adelaide,3,65592,0.0,0.0,,0.0,0.0,-1.0,
Adelaide,3,65713,0.0,1.0,,0.0,0.0,-1.0,
Adelaide,3,82875,0.3333,0.0,,0.0,0.6667000000000001,-1.0,
Adelaide,3,82879,0.1304,0.0435,,0.1304,0.6957,-1.0,
Adelaide,3,82880,0.1304,0.0435,,0.21739999999999998,0.6087,-1.0,
Adelaide,3,83454,0.21427857214278573,0.14288571142885712,,0.21427857214278573,0.42855714428557146,-1.0,
Adelaide,3,83475,0.1,0.125,,0.25,0.525,-1.0,
Adelaide,3,83760,0.10529999999999999,0.21050000000000002,,0.15789999999999998,0.5263,-1.0,
Adelaide,3,96647,0.18181818181818182,0.18181818181818182,,0.27272727272727276,0.36363636363636365,-1.0,
Adelaide,3,96649,0.1429,0.07139999999999999,,0.2143,0.5714,-1.0,
Adelaide,3,96715,0.24239999999999998,0.12119999999999999,,0.16670000000000001,0.4697,-1.0,
Adelaide,3,97817,0.0943094309430943,0.1132113211321132,,0.1132113211321132,0.6792679267926792,-1.0,
Adelaide,3,97818,0.0909090909090909,0.1818181818181818,,0.2727272727272727,0.45454545454545453,-1.0,
Adelaide,3,97820,0.3125,0.125,,0.0625,0.5,-1.0,
Adelaide,3,97823,0.2,0.1143,,0.0286,0.6570999999999999,-1.0,
Adelaide,3,97861,0.1730826917308269,0.12178782121787822,,0.22437756224377567,0.48075192480751927,-1.0,
Adelaide,3,108580,0.2273,0.0909,,0.3182,0.3636,-1.0,
Adelaide,4,0,0.2074801870046751,0.37173429335733393,,0.42078551963799093,-1.0,0.0,
Adelaide,4,6648,0.24242424242424243,0.3333333333333333,,0.42424242424242425,-1.0,0.0,
Adelaide,4,6649,0.0652,0.2391,,0.6957,-1.0,0.0,
Adelaide,4,6651,0.1636,0.3091,,0.5273,-1.0,0.0,
Adelaide,4,6654,0.2419241924192419,0.40324032403240323,,0.35483548354835476,-1.0,0.0,
Adelaide,4,6655,0.2241,0.29309999999999997,,0.4828,-1.0,0.0,
Adelaide,4,6657,0.2,0.3714,,0.4286,-1.0,0.0,
Adelaide,4,6659,0.24170000000000003,0.2583,,0.5,-1.0,0.0,
Adelaide,4,6660,0.13158684131586842,0.421057894210579,,0.4473552644735527,-1.0,0.0,
Adelaide,4,6663,0.1143,0.3857,,0.5,-1.0,0.0,
Adelaide,4,6668,0.2113,0.4507,,0.33799999999999997,-1.0,0.0,
Adelaide,4,6674,0.17859999999999998,0.2857,,0.5357,-1.0,0.0,
Adelaide,4,6675,0.16,0.3333,,0.5067,-1.0,0.0,
Adelaide,4,6676,0.24359999999999998,0.2949,,0.46149999999999997,-1.0,0.0,
Adelaide,4,6679,0.27827217278272176,0.27827217278272176,,0.4434556544345566,-1.0,0.0,
Adelaide,4,6681,0.2673267326732673,0.2376237623762376,,0.495049504950495,-1.0,0.0,
Adelaide,4,6682,0.0,0.16670000000000001,,0.8332999999999999,-1.0,0.0,
Adelaide,4,6685,0.2553,0.2553,,0.4894,-1.0,0.0,
Adelaide,4,6686,0.1324,0.27940000000000004,,0.5882000000000001,-1.0,0.0,
Adelaide,4,6868,0.1389,0.16670000000000001,,0.6944,-1.0,0.0,
Adelaide,4,6871,0.193,0.24559999999999998,,0.5614,-1.0,0.0,
Adelaide,4,6878,0.0556,0.25,,0.6944,-1.0,0.0,
Adelaide,4,6886,0.2,0.23079999999999998,,0.5692,-1.0,0.0,
Adelaide,4,6889,0.16668333166683333,0.31666833316668336,,0.5166483351664833,-1.0,0.0,
Adelaide,4,7008,0.1,0.43329999999999996,,0.4667,-1.0,0.0,
Adelaide,4,7048,0.2742,0.3387,,0.3871,-1.0,0.0,
