DivisionNm,upto50k,50to99k,100to150k,150kplus,18to34,35to49,50to64,65plus,female,male,englishonly,nonenglish,christian,noreligion,notertiary,tafe,university
Clark,0.09253807756303596,0.6575707154742096,0.1573531293997184,0.09253807756303596,0.33830378030915886,0.2276275225747207,0.21455276909285698,0.21951592802326345,0.5106042166302752,0.4893957833697247,0.7981296325796264,0.2018703674203735,0.40085780270537774,0.5991421972946223,0.10652381923420809,0.34661417075810574,0.5468620100076862
Cook,0.1498151024840878,0.5142487936983627,0.18612100133346163,0.1498151024840878,0.24821568263748317,0.25857077187351307,0.2395703121849722,0.25364323330403155,0.5132887729387644,0.48671122706123565,0.824239902792086,0.175760097207914,0.6408452170292495,0.3591547829707505,0.10438969713606003,0.47984719553481564,0.41576310732912436
Cooper,0.12657825546791482,0.5577562046748143,0.189087284389356,0.12657825546791482,0.3309459840579495,0.2809229764431712,0.20931734180409386,0.17881369769478545,0.5137185654265359,0.48628143457346407,0.6740350139788439,0.32596498602115614,0.4466359660555507,0.5533640339444492,0.10088198770948535,0.2948025345206381,0.6043154777698766
Corangamite,0.09539539942794989,0.6338879265197599,0.17532127462434033,0.09539539942794989,0.2569331884651693,0.24309352902409917,0.22519281121422083,0.2747804712965107,0.5168383393889521,0.483161660611048,0.9224952603179233,0.0775047396820767,0.4716763450371111,0.5283236549628889,0.11220507817514312,0.48772817129213625,0.4000667505327206
Corio,0.09392107562545694,0.6395442144118119,0.1726136343372742,0.09392107562545694,0.29758328276923535,0.24385461218570095,0.22711666247354634,0.23144544257151736,0.510005547283291,0.489994452716709,0.854350918424145,0.14564908157585504,0.5075481798715203,0.49245182012847966,0.12963691481730036,0.48587230694466943,0.38449077823803024
Cowan,0.07198558011573855,0.6846788729722038,0.17134996679631914,0.07198558011573855,0.3043872006439928,0.2752140192268991,0.2257148164775454,0.19468396365156276,0.5048022129357014,0.4951977870642986,0.626481607735947,0.373518392264053,0.5891357910265619,0.41086420897343806,0.13357551516378918,0.507138879044099,0.3592856057921118
Cowper,0.0627966872033128,0.7305575194424806,0.14384910615089386,0.0627966872033128,0.20570711586286694,0.2037010601290788,0.25561808305221007,0.33497374095584426,0.5172658650833906,0.4827341349166095,0.9414170506912443,0.05858294930875576,0.5450102464541876,0.45498975354581245,0.17632742322343978,0.553026383859286,0.27064619291727415
Cunningham,0.10252758988964045,0.6044208550438526,0.19052396517686657,0.10252758988964045,0.2975070769792713,0.23444293812296735,0.23190014259322997,0.23614984230453137,0.5071114357238834,0.4928885642761166,0.8191387392020947,0.1808612607979053,0.5613259458844067,0.43867405411559335,0.11358434962535661,0.4740153201450502,0.41240033022959316
Curtin,0.22935615394954972,0.37347103364846096,0.16781665845243962,0.22935615394954972,0.2857263897340307,0.25647977693391977,0.22567724741386613,0.23211658591818343,0.5163589659307415,0.4836410340692585,0.8244466384279754,0.17555336157202459,0.4815877803181398,0.5184122196818602,0.09582593860001765,0.25719944698834163,0.6469746144116407
Dawson,0.09860595984141195,0.6203935468547311,0.18239453346244497,0.09860595984141195,0.27529737074205624,0.25247709629488374,0.25892112226168623,0.21330441070137382,0.4941726667530432,0.5058273332469567,0.9201209627984906,0.07987903720150931,0.5737710736468501,0.42622892635314996,0.19980918983033366,0.5622453715641277,0.23794543860553866
Deakin,0.11556653426714761,0.573902791618128,0.1949641398475768,0.11556653426714761,0.25856631464673185,0.2724799197477,0.2341333369978219,0.23482042860774627,0.5155850736935169,0.4844149263064831,0.7191255490401551,0.2808744509598448,0.49266191343482124,0.5073380865651788,0.08787450453211028,0.3895835598564749,0.5225419356114148
Dickson,0.09904448105436574,0.6160626029654036,0.18584843492586492,0.09904448105436574,0.2692566361394565,0.2842351729921371,0.2521276330756649,0.19438055779274155,0.5055055243252051,0.49449447567479493,0.9093099316731971,0.09069006832680289,0.531361237265251,0.46863876273474897,0.08558325956526015,0.5453058916101111,0.3691108488246287
Dobell,0.06859335906026037,0.7031932488020016,0.15962003307747763,0.06859335906026037,0.2540646223502778,0.23916760333718556,0.24034701663843464,0.266420757674102,0.516118415037759,0.48388158496224104,0.931266898416377,0.06873310158362302,0.5677884228323001,0.43221157716769987,0.1483951646519383,0.594553286091427,0.2570515492566347
Dunkley,0.07535065970837596,0.6741508746987535,0.1751478058844947,0.07535065970837596,0.2639819004524887,0.2690045248868778,0.24619909502262444,0.22081447963800904,0.5129955895186207,0.48700441048137927,0.8781584980482062,0.12184150195179379,0.43786072834970285,0.5621392716502972,0.1269039667671255,0.5484820628585392,0.32461397037433526
Durack,0.1341821185451024,0.5163633256429975,0.21527243726679768,0.1341821185451024,0.2954660596428646,0.28188436474172573,0.25456135358905135,0.16808822202635834,0.4777984147330421,0.5222015852669579,0.8693122627888417,0.13068773721115828,0.47216336717318114,0.5278366328268188,0.28637881679389315,0.5114612248438585,0.20215995836224843
Eden-monaro,0.09123452829232874,0.6298779149288259,0.1876530284865166,0.09123452829232874,0.236904372436985,0.22812450071136742,0.27158258329085416,0.2633885435607934,0.49807010066691076,0.5019298993330892,0.9134484354511094,0.08655156454889054,0.5446422481413273,0.45535775185867267,0.15300645865550805,0.5129514236332211,0.3340421177112708
Fadden,0.08878406539263041,0.6696929066442661,0.15273896257047315,0.08878406539263041,0.28091119181247937,0.2547969626939584,0.23523935292175635,0.22905249257180588,0.5148650176242691,0.48513498237573094,0.8507417846530327,0.14925821534696732,0.5062040739299152,0.4937959260700848,0.14152884227511092,0.5542456635740218,0.3042254941508673
Fairfax,0.09600829633942216,0.6551197147223637,0.15286369259879193,0.09600829633942216,0.2223362728423829,0.24906157984251023,0.25613438326502785,0.27246776405007905,0.5188941995633446,0.48110580043665546,0.9352447291498227,0.06475527085017725,0.47836594988634284,0.5216340501136572,0.12551963426476526,0.5339057948085673,0.3405745709266675
Farrer,0.057536892042234306,0.7453347047587061,0.13959151115682528,0.057536892042234306,0.24632865179003838,0.2192079871847409,0.2535260589352904,0.28093730208993034,0.5045763161231571,0.49542368387684294,0.9074299939329118,0.09257000606708823,0.6172718678011692,0.3827281321988309,0.20491195434949283,0.5440982390869898,0.2509898065635173
Fenner,0.09751247818853225,0.5759309607867008,0.22904408283623476,0.09751247818853225,0.3550905290725492,0.3219007327944398,0.18512083133976312,0.1378879067932479,0.5027642810657804,0.4972357189342196,0.6723301607278639,0.3276698392721361,0.4884009708189874,0.5115990291810126,0.0769406418760775,0.35819242581661664,0.5648669323073059
Fisher,0.09344292237442922,0.6590867579908676,0.15402739726027398,0.09344292237442922,0.24045989155715994,0.23461219578408282,0.2475255515690461,0.2774023610897111,0.5199152050180044,0.4800847949819956,0.9355184167528502,0.06448158324714982,0.48791009560057347,0.5120899043994265,0.13073394495412843,0.5479685452162516,0.3212975098296199
Flinders,0.12158977288958721,0.5954685044993573,0.16135194972146835,0.12158977288958721,0.19082679173741235,0.2086280541194923,0.25795841296187727,0.34258674118121807,0.5172348531099661,0.48276514689003397,0.9426662794074935,0.057333720592506535,0.4622218948975288,0.5377781051024713,0.1449342363791868,0.520711495342225,0.3343542682785881
Flynn,0.10913537262704137,0.5813852275553345,0.20034402719058278,0.10913537262704137,0.2574281437376128,0.2560064894337635,0.27380225624900695,0.21276311057961683,0.49006831186509037,0.5099316881349096,0.9467424095651933,0.05325759043480668,0.5428172599846668,0.4571827400153332,0.21904050932446897,0.5943715138881064,0.18658797678742464
Forde,0.05432098765432099,0.74880174291939,0.14255628177196805,0.05432098765432099,0.322868890797015,0.27157287761698323,0.21943915055812688,0.18611908102787492,0.5109675550705224,0.48903244492947767,0.8513150772697649,0.14868492273023518,0.4955582913905686,0.5044417086094314,0.15212913625576502,0.6027963103926924,0.24507455335154257
Forrest,0.09994553926215785,0.6107469189341832,0.1893620025415011,0.09994553926215785,0.22349621496283162,0.25948816749641956,0.26134658664666166,0.25566903089408716,0.5071924635490638,0.49280753645093617,0.9236038264083308,0.07639617359166916,0.4475811149298072,0.5524188850701928,0.1504680197534787,0.5859845626299135,0.26354741761660777
Fowler,0.036996119853416685,0.7942444492347489,0.13176331105841776,0.036996119853416685,0.30668576081767895,0.24334512677954678,0.24509308398618482,0.20487602841658945,0.5059321289812762,0.4940678710187238,0.27188118342634393,0.7281188165736561,0.7468469755975562,0.2531530244024438,0.2094870268465146,0.4535013720906596,0.3370116010628258
Franklin,0.06866742782580329,0.7004566954819769,0.16220844886641658,0.06866742782580329,0.2533173723023411,0.23904278986775684,0.24370687416006956,0.26393296366983254,0.5117580786494751,0.48824192135052485,0.9106163580970237,0.08938364190297633,0.43066890662743423,0.5693310933725658,0.10982188295165395,0.47131467345207806,0.41886344359626804
Fraser,0.09288123383214905,0.6363338681685713,0.17790366416713055,0.09288123383214905,0.3531878482269411,0.2755246673677472,0.2009575628523093,0.17032992155300233,0.49645857963181894,0.5035414203681811,0.452773198437253,0.5472268015627471,0.5262261402263644,0.4737738597736357,0.15462366502797084,0.34531276487540263,0.5000635700966265
Fremantle,0.12117321595060143,0.5562841028933009,0.2013694652054962,0.12117321595060143,0.29246128868102844,0.28051469697336856,0.23361685285256178,0.19340716149304124,0.5094501663961808,0.4905498336038192,0.7997904467595509,0.2002095532404491,0.4853033457885279,0.514696654211472,0.11837774340245874,0.45288965910280415,0.4287325974947371
Gellibrand,0.12192223468461251,0.5578699994658975,0.19828553116487743,0.12192223468461251,0.31008095511803935,0.3593465419214548,0.19463161612454208,0.13594088683596375,0.4984139491655554,0.5015860508344446,0.5336641437476297,0.46633585625237023,0.5553611823254411,0.4446388176745589,0.11052889804729664,0.3452458051221666,0.5442252968305368
Gilmore,0.07913685668128317,0.6852296330486961,0.1564966535887376,0.07913685668128317,0.19295148775489843,0.19283636614810779,0.261418144700185,0.35279400139680883,0.5066349919266532,0.4933650080733468,0.9496137361765172,0.05038626382348273,0.5375386730835339,0.46246132691646613,0.16207603796104242,0.5543749058505892,0.28354905618836834
Gippsland,0.07529998991630533,0.7011697085812242,0.14823031158616518,0.07529998991630533,0.22389307943451758,0.20671630988950898,0.2626855589687505,0.30670505170722295,0.5053773054718235,0.4946226945281766,0.9447129888413446,0.05528701115865541,0.4609947056224696,0.5390052943775304,0.19484202888991492,0.5697777191478135,0.2353802519622716
Goldstein,0.21782644795009312,0.39510356125036467,0.1692435428494491,0.21782644795009312,0.22957377487179106,0.2606333632673054,0.2626965808477004,0.2470962810132031,0.519565230040556,0.48043476995944395,0.7813597825890463,0.2186402174109537,0.4850857046829487,0.5149142953170514,0.08810598918275195,0.2921351659802511,0.619758844836997
Gorton,0.06151290033038596,0.7179115023967305,0.15906269694249756,0.06151290033038596,0.3163510209574794,0.30461991670841215,0.22194142672359007,0.15708763561051836,0.49919394563611125,0.5008060543638888,0.4687418008348241,0.5312581991651759,0.7396024825202294,0.2603975174797706,0.13082318855312985,0.45684550283376113,0.412331308613109
Grayndler,0.1615015920138692,0.474828051171065,0.20216876480119655,0.1615015920138692,0.33549743964886614,0.28394575431883406,0.20714928816611333,0.1734075178661865,0.5117895288262856,0.4882104711737144,0.6770231434306948,0.3229768565693052,0.44768543537894284,0.5523145646210572,0.09653376606222994,0.2782893371322905,0.6251768968054796
Greenway,0.10239087519192805,0.579776266725159,0.21544198289098487,0.10239087519192805,0.3176613746243303,0.36119005618711614,0.19449888932444792,0.12664967986410558,0.4987871544869368,0.5012128455130632,0.5418018018018018,0.4581981981981982,0.6867317508120354,0.3132682491879646,0.10601127253946512,0.3649316237396987,0.5290571037208363
